Commune,Average registered price per squared meter in €,MinPriceSMuc,MaxPriceSMuc,Year
Mersch,4568.739,3347,5306,2014
Mertert,5283.35,3444,7897,2014
Mertzig,5283.35,3444,7897,2014
Mompach,5283.35,3444,7897,2014
Mondercange,5283.35,3444,7897,2014
Mondorf-les-Bains,4949.143,3763,6210,2014
Niederanven,5283.35,3444,7897,2014
Nommern,5283.35,3444,7897,2014
Parc Hosingen,5283.35,3444,7897,2014
Petange,3781.58,2911,4884,2014
Preizerdaul,5283.35,3444,7897,2014
Putscheid,5283.35,3444,7897,2014
Rambrouch,5283.35,3444,7897,2014
Reckange-sur-Mess,5283.35,3444,7897,2014
Redange,4083.966,2504,5313,2014
Reisdorf,5283.35,3444,7897,2014
Remich,5283.35,3444,7897,2014
Roeser,5374.824,4769,6324,2014
Rosport,5283.35,3444,7897,2014
Rumelange,5283.35,3444,7897,2014
Saeul,5283.35,3444,7897,2014
Sandweiler,5283.35,3444,7897,2014
Sanem,4685.347,4111,5291,2014
Schengen,5283.35,3444,7897,2014
Schieren,5283.35,3444,7897,2014
Schifflange,4595.778,4056,5668,2014
Schuttrange,5283.35,3444,7897,2014
Septfontaines,5283.35,3444,7897,2014
Stadtbredimus,5283.35,3444,7897,2014
Steinfort,5283.35,3444,7897,2014
Steinsel,5283.35,3444,7897,2014
Strassen,6809.667,6125,7741,2014
Tandel,5283.35,3444,7897,2014
Troisvierges,5283.35,3444,7897,2014
Tuntange,4493.886,3817,5260,2014
Useldange,5283.35,3444,7897,2014
Vallée de l'Ernz,5283.35,3444,7897,2014
Vianden,5283.35,3444,7897,2014
Vichten,5283.35,3444,7897,2014
Wahl,5283.35,3444,7897,2014
Waldbillig,5283.35,3444,7897,2014
Waldbredimus,5283.35,3444,7897,2014
Walferdange,5283.35,3444,7897,2014
Weiler-la-Tour,5283.35,3444,7897,2014
Weiswampach,3594.236,3259,3854,2014
Wiltz,5283.35,3444,7897,2014
Wincrange,5283.35,3444,7897,2014
Winseler,3563.287,2750,4461,2014
Wormeldange,5283.35,3444,7897,2014
National Average,5283.35,3444,7897,2014
Beaufort,5589.387,3683,7772,2015
Bech,5589.387,3683,7772,2015
Beckerich,5589.387,3683,7772,2015
Berdorf,5589.387,3683,7772,2015
Bertrange,7092.145,6252,8613,2015
Bettembourg,5474.441,3751,6717,2015
Bettendorf,4236.179,3031,5263,2015
Betzdorf,5608.615,5069,6519,2015
Bissen,5589.387,3683,7772,2015
Biwer,5589.387,3683,7772,2015
Boevange-sur-Attert,5589.387,3683,7772,2015
Boulaide,5589.387,3683,7772,2015
Bourscheid,5589.387,3683,7772,2015
Bous,5589.387,3683,7772,2015
Clervaux,3518.083,2577,4046,2015
Colmar-Berg,5589.387,3683,7772,2015
Consdorf,5589.387,3683,7772,2015
Contern,6339.379,5608,7752,2015
Dalheim,5589.387,3683,7772,2015
Diekirch,4826.626,4143,5698,2015
Differdange,4174.143,3081,5065,2015
Dippach,5589.387,3683,7772,2015
Dudelange,5259.101,3871,5945,2015
Echternach,5154.434,4972,5702,2015
Ell,5589.387,3683,7772,2015
Erpeldange,5589.387,3683,7772,2015
Esch-sur-Alzette,5613.273,3951,7070,2015
Esch-sur-Sûre,5589.387,3683,7772,2015
Ettelbruck,5100.105,3846,5775,2015
Feulen,4126.546,2973,4732,2015
Fischbach,5589.387,3683,7772,2015
Flaxweiler,5589.387,3683,7772,2015
Frisange,5048.612,4294,5954,2015
Garnich,5589.387,3683,7772,2015
Goesdorf,5589.387,3683,7772,2015
Grevenmacher,5589.387,3683,7772,2015
Grosbous,5589.387,3683,7772,2015
Heffingen,5589.387,3683,7772,2015
