Commune,Number of sales,Average registered price per squared meter in Euros,MinPriceSM,MaxPriceSM,ARPsm_VEPA,MinPriceSM_VEPA,MaxPriceSM_VEPA,Year
Larochette,11,3167.292,2055,3916,4845.979,3221,6853,2012
Lenningen,5,3998.736,2543,5933,4845.979,3221,6853,2012
Leudelange,13,4614.376,3715,5591,4913.145,4491,5839,2012
Lintgen,23,3884.23,2767,4920,4845.979,3221,6853,2012
Lorentzweiler,6,3998.736,2543,5933,4954.346,3604,5861,2012
Luxembourg City,458,5071.203,3520,6845,5789.002,4521,7582,2012
Mamer,31,4331.828,3074,5279,5031.616,4023,5749,2012
Manternach,1,3998.736,2543,5933,4845.979,3221,6853,2012
Mersch,41,3908.377,2970,4670,4520.063,3313,4935,2012
Mertert,14,3468.296,1804,4368,4845.979,3221,6853,2012
Mertzig,2,3998.736,2543,5933,4845.979,3221,6853,2012
Mompach,1,3998.736,2543,5933,4845.979,3221,6853,2012
Mondercange,29,3840.847,2863,4995,4845.979,3221,6853,2012
Mondorf-les-Bains,38,4122.83,3201,5078,4845.979,3221,6853,2012
Niederanven,2,3998.736,2543,5933,4845.979,3221,6853,2012
Nommern,0,3998.736,2543,5933,4845.979,3221,6853,2012
Parc Hosingen,10,3044.01,2454,3462,4845.979,3221,6853,2012
Petange,110,3490.944,2564,4396,3449.667,2904,4369,2012
Preizerdaul,1,3998.736,2543,5933,4845.979,3221,6853,2012
Putscheid,1,3998.736,2543,5933,4845.979,3221,6853,2012
Rambrouch,6,3998.736,2543,5933,4845.979,3221,6853,2012
Reckange-sur-Mess,5,3998.736,2543,5933,4845.979,3221,6853,2012
Redange,9,3998.736,2543,5933,4845.979,3221,6853,2012
Reisdorf,2,3998.736,2543,5933,4845.979,3221,6853,2012
Remich,28,3548.208,2460,4846,4219.075,2780,4972,2012
Roeser,35,4378.42,3497,5742,4806.334,4276,5922,2012
Rosport,3,3998.736,2543,5933,4845.979,3221,6853,2012
Rumelange,30,3432.808,2525,4260,4076.799,3416,4891,2012
Saeul,4,3998.736,2543,5933,4845.979,3221,6853,2012
Sandweiler,10,4362.772,3714,5274,4845.979,3221,6853,2012
Sanem,71,3670.783,2532,4705,4215.595,3197,5082,2012
Schengen,16,3619.799,2446,4787,4590.349,3903,5184,2012
Schieren,7,3998.736,2543,5933,4247.219,3604,4778,2012
Schifflange,40,3408.858,2254,4366,4248.729,3076,5139,2012
Schuttrange,7,3998.736,2543,5933,4845.979,3221,6853,2012
Septfontaines,0,3998.736,2543,5933,4845.979,3221,6853,2012
